source,episode_title,publish_reference,duration,topic_cluster,transcript_type,chapter_or_transcript_outline,linkedin_angle
Apple Podcasts,Google creó la tecnología de ChatGPT… y casi pierde la carrera,6D AGO from 2026-03-24 (~2026-03-18),1h 17m,IA/estrategia,Resumen editorial,Google Brain y DeepMind -> código rojo 2022 -> por qué reaccionó tarde -> batalla por dominio IA,Timing vs invención + ventaja de distribución
Apple Podcasts,La guerra de la IA: cómo Anthropic desafió al Pentágono,2026-03-12,1h 16m,IA/geopolítica,Resumen editorial,Ultimátum del gobierno USA -> postura Anthropic -> acuerdo OpenAI-Pentágono -> dilema ético de uso militar,Gobernanza de IA y riesgo reputacional
Apple Podcasts,El momento en que Google entró al juego,2026-03-10,1h 53m,Big Tech/historia,Resumen editorial,YouTube+Android -> guerras con Apple/Microsoft -> privacidad/regulación -> pérdida de chispa,Escala vs burocracia en innovación
Apple Podcasts,Google: El gigante que controla el internet (p.1),2026-03-03,2h 12m,Big Tech/orígenes,Resumen editorial,Stanford -> PageRank -> monetización publicitaria -> ADN cultural,Moats de producto + modelo de ingresos
Apple Podcasts,Chobani: de fábrica abandonada a imperio multimillonario,2026-02-24,1h 33m,Consumo/turnaround,Resumen editorial,Fundador inmigrante -> adquisición planta -> crecimiento -> recall -> propósito,Storytelling de resiliencia operacional
Apple Podcasts,La Guerra por Warner: la batalla que puede redefinir el streaming,2026-02-17,1h 40m,Media/M&A,Resumen editorial,Consolidación del streaming -> activos vs deuda -> riesgos regulatorios,M&A: sinergias reales vs humo financiero
Apple Podcasts,Nadie tomaba en serio a Pinterest… hasta que empezó a imprimir dinero,2026-02-10,1h 7m,Plataformas/ads,Resumen editorial,Producto subestimado -> intención de compra -> pivot a shopping y anuncios,Monetización disciplinada en productos de nicho
Apple Podcasts,El CEO invisible que transformó Apple (p.3),2026-02-03,1h 4m,Liderazgo/operación,Resumen editorial,Era Tim Cook -> servicios/wearables -> retos de IA/regulación,Perfil del operador que crea valor sostenible
Spotify Creators,NETFLIX: Innovación Supervivencia y Éxito,2024-07-09,1h 07m,Media/innovación,Capítulos con timestamps,"00:00 inicio; 04:00 cultura RH; 30:00 Blockbuster; 46:00 streaming; 53:00 Qwikster; 57:00 Prime Video; 1:04:00 actualidad",Pivot estratégico y management cultural
Spotify Creators,OnlyFans: La revolución del contenido XXX,2024-06-25,1h 12m,Creator economy/plataformas,Capítulos con timestamps,"00:00 inicio; 02:30 qué es OF; 22:30 pandemia; 32:00 veto explícito; 42:50 modelo; 1:02:45 explotación infantil; 1:06:25 IA",Monetización de creadores y riesgo de plataforma
Spotify Creators,BlackRock: ¿El dueño del mundo?,2024-06-18 aprox,1h 02m,Finanzas/poder corporativo,Capítulos con timestamps,"00:00 inicio; 02:40 qué es BR; 21:45 Aladdin; 36:00 crisis 2008; 44:30 ESG; 52:00 choque republicanos",Poder de voto y narrativa ESG
Spotify Creators,Meta: Niñas Influencers y Depredadores,2024-07-09,41m,Tech/regulación,Capítulos con timestamps,"00:00 inicio; 04:20 acusaciones; 13:00 depredadores; 23:30 demandas; 29:00 demanda 33 estados",Seguridad infantil y deuda regulatoria
Spotify Creators,OpenAI: Sam Altman y la batalla por el futuro de OpenAI,2024-04-23,1h 09m,IA/gobierno corporativo,Capítulos con timestamps,"00:00 inicio; 19:15 Elon-Sam; 33:15 fundación; 46:00 Microsoft; 50:10 guerra de 5 días",Crisis de board y diseño organizacional
Spotify Creators,Shein: escándalos y secretos del fast fashion,2024-04-16,47m,Consumo/ética,Capítulos con timestamps,"00:00 inicio; 09:50 malas prácticas; 16:00 explotación; 26:30 impacto ambiental; 41:05 IPO",Costo reputacional de crecimiento acelerado
Spotify Creators,Bumble: Whitney Wolfe y dating Gen Z,2024-04-09,37m,Apps/liderazgo,Capítulos con timestamps,"00:00 inicio; 06:20 funda Tinder; 13:20 demanda; 18:00 misión Bumble; 29:00 industria hoy",Marca + seguridad como estrategia competitiva
Spotify Creators,Uber: del caos al éxito,2024-04-02,50m,Movilidad/turnaround,Capítulos con timestamps,"00:00 inicio; 11:40 controversias; 20:10 Greyball; 27:00 sale Travis; 30:45 entra Dara; 44:00 comeback",Cambio de liderazgo para recuperar legitimidad
Spotify Creators,Herbalife: guerra Ackman vs Icahn,2024-03-26,50m,Finanzas/controversia,Capítulos con timestamps,"00:00 inicio; 10:39 esquemas piramidales; 25:45 Ackman; 31:45 Icahn; 43:50 actualidad",Narrativa de mercado y percepción de fraude
